Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
16	P König, N Wilming, K Kaspar, ...	Predictions in the light of your own action repertoire as a general computational principle	2013	Behavioral and Brain …	search.proquest.com	https://search.proquest.com/openview/5543364c4213fd1e2e1a33caa29c4d92/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=7335022146263075591&as_sdt=2005&sciodt=2007&hl=en	97	2021-12-15 15:37:30									16	2	4	4	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:B0uih8c7y2UJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
16	THB FitzGerald, KJ Friston, RJ Dolan	Characterising reward outcome signals in sensory cortex	2013	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S105381191300699X	https://scholar.google.com/scholar?cites=3624899721778253102&as_sdt=2005&sciodt=2007&hl=en	608	2021-12-16 9:10:44	HTML								16	2	5	3	8	Reward outcome signalling in the sensory cortex is held as important for linking stimuli to their consequences and for modulating perceptual learning in response to incentives. Evidence for reward outcome signalling has been found in sensory regions including the …	https://www.sciencedirect.com/science/article/pii/S105381191300699X	https://scholar.google.com/scholar?q=related:Lk0BZxc7TjIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
12	D Rasmussen, C Eliasmith	God, the devil, and the details: Fleshing out the predictive processing framework	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/9d28699b373b71b4c6025c185b2899d9/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=16043428129196634082&as_sdt=2005&sciodt=2007&hl=en	108	2021-12-15 15:37:30									12	1.5	6	2	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:4m9GvOG0pd4J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
12	BA Kaplan, A Lansner, GS Masson, ...	Anisotropic connectivity implements motion-based prediction in a spiking neural network	2013	Frontiers in …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fncom.2013.00112/full	https://scholar.google.com/scholar?cites=13766130062319980902&as_sdt=2005&sciodt=2007&hl=en	117	2021-12-15 15:37:30	HTML	10.3389/fncom.2013.00112							12	1.5	3	4	8	Predictive coding hypothesizes that the brain explicitly infers upcoming sensory input to establish a coherent representation of the world. Although it is becoming generally accepted, it is …	https://www.frontiersin.org/articles/10.3389/fncom.2013.00112/full	https://scholar.google.com/scholar?q=related:ZpFoCFseC78J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
11	DYJ Little, FT Sommer	Maximal mutual information, not minimal entropy, for escaping the" Dark Room"	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/82d580d7243931db9ad336c9856947af/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=11171337214667700458&as_sdt=2005&sciodt=2007&hl=en	107	2021-12-15 15:37:30									11	1.38	6	2	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:6rheKgKQCJsJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
10	WA Phillips	Neuronal inference must be local, selective, and coordinated	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/37463c5d36409f60ab02d4fc0a8adc0a/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=16256746650460573563&as_sdt=2005&sciodt=2007&hl=en	102	2021-12-15 15:37:30									10	1.25	10	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:e085WPKQm-EJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
10	L Muckli, LS Petro, FW Smith	Backwards is the way forward: feedback in the cortical hierarchy predicts the expected future	2013	Behavioral and Brain Sciences	eprints.gla.ac.uk	https://eprints.gla.ac.uk/81339	https://scholar.google.com/scholar?cites=9776765717680981361&as_sdt=2005&sciodt=2007&hl=en	215	2021-12-15 16:15:33									10	1.25	3	3	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …	https://eprints.gla.ac.uk/81339/1/81339.pdf	https://scholar.google.com/scholar?q=related:cYWX5p4MrocJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
9	J Kwisthout, I van Rooij	Predictive coding and the Bayesian brain: Intractability hurdles that are yet to be overcome.	2013	CogSci			https://scholar.google.com/scholar?cites=16799172081648802331&as_sdt=2005&sciodt=2007&hl=en	92	2021-12-15 15:37:30	CITATION								9	1.13	5	2	8		http://www.socsci.ru.nl/johank/material/cogsci13/paper.pdf	https://scholar.google.com/scholar?q=related:GxpWnwCmIukJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
9	PA Gowaty, SP Hubbell	Bayesian animals sense ecological constraints to predict fitness and organize individually flexible reproductive decisions	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/0ea862eb2e856aa9318f3d9890a352a3/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=18350979677309920892&as_sdt=2005&sciodt=2007&hl=en	109	2021-12-15 15:37:30									9	1.13	5	2	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:fGZ48snGq_4J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
8	T Trappenberg, P Hollensen	Sparse coding and challenges for Bayesian models of the brain	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/343c945c5859663c7ae54968bdca53d4/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=4083011656138768129&as_sdt=2005&sciodt=2007&hl=en	110	2021-12-15 15:37:30									8	1	4	2	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:AT_u8XfFqTgJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
6	S Ondobaka	On the conceptual and perceptual processing of own and others' behavior	2013		repository.ubn.ru.nl	https://repository.ubn.ru.nl/bitstream/handle/2066/116593/116593.pdf?sequence=1&isAllowed=y	https://scholar.google.com/scholar?cites=17863017782425914366&as_sdt=2005&sciodt=2007&hl=en	123	2021-12-15 15:37:30	BOOK								6	0.75	6	1	8	… Also, a recently proposed active inference account suggests that a hierarchy of predictions subserves both observation and execution of movement, without distinguishing between …	https://repository.ubn.ru.nl/bitstream/handle/2066/116593/116593.pdf?sequence=1&isAllowed=y	https://scholar.google.com/scholar?q=related:_ov74Qcw5vcJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
6	M Füllsack	Constructivism and Computation: Can Computer-Based Modeling Add to the Case for Constructivism?	2013	Constructivist Foundations	constructivist.info	https://constructivist.info/articles/9/1/007.fuellsack.pdf	https://scholar.google.com/scholar?cites=10127907274252716447&as_sdt=2005&sciodt=2007&hl=en	132	2021-12-15 15:37:30	PDF								6	0.75	6	1	8	«1» As deterministic and discretely operating machines, modern-day digital computers seem to contradict the foundational assumption of constructivism. An epistemology that stresses …	https://constructivist.info/articles/9/1/007.fuellsack.pdf	https://scholar.google.com/scholar?q=related:n4nthwGOjYwJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
5	L Holm, G Madison	Whenever next: Hierarchical timing of perception and action	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/37463c5d36409f60fb1d013c2d1508d9/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=10486526597665137527&as_sdt=2005&sciodt=2007&hl=en	114	2021-12-15 15:37:30									5	0.63	3	2	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:dyOEbWGgh5EJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
5	SM Silverstein	Schizophrenia-related phenomena that challenge prediction error as the basis of cognitive functioning	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/b70ca1657381ce6119c3a3eff8f88bb6/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=10687633113353995610&as_sdt=2005&sciodt=2007&hl=en	115	2021-12-15 15:37:30									5	0.63	5	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:WsUq67AZUpQJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
5	B Bridgeman	Applications of predictive control in neuroscience	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/82d580d7243931dbf1f904cd2574b21e/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=4096153423040866708&as_sdt=2005&sciodt=2007&hl=en	219	2021-12-15 16:15:33									5	0.63	5	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:lOnZ_dV12DgJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
4	BJH Smith, CM Saaj, E Allouis	ANUBIS: artificial neuromodulation using a Bayesian inference system	2013	Neural computation	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/6797771/	https://scholar.google.com/scholar?cites=4670402496602854396&as_sdt=2005&sciodt=2007&hl=en	232	2021-12-15 16:15:33									4	0.5	1	3	8	Gain tuning is a crucial part of controller design and depends not only on an accurate understanding of the system in question, but also on the designer's ability to predict what …		https://scholar.google.com/scholar?q=related:_FMcaFOa0EAJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
3	EL Khalil	Two kinds of theory-laden cognitive processes: Distinguishing intransigence from dogmatism	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/aa69b53b65841a45b16f628d080ea74c/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=125302685159061170&as_sdt=2005&sciodt=2007&hl=en	222	2021-12-15 16:15:33									3	0.38	3	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:svZO1iAqvQEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
2	P Gerrans	Unraveling the mind	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/82d580d7243931db760f1e10c7bac052/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=12695733465026317812&as_sdt=2005&sciodt=2007&hl=en	118	2021-12-15 15:37:30									2	0.25	2	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:9M3uUVJOMLAJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
2	RA Adams, KE Stephan, HR Brown, CD Frith, ...	London, UK	2013		Citeseer	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.368.135	https://scholar.google.com/scholar?cites=3538840489031281145&as_sdt=2005&sciodt=2007&hl=en	693	2021-12-16 9:10:44									2	0.25	0	5	8	This paper considers psychotic symptoms in terms of false inferences or beliefs. It is based on the notion that the brain is an inference machine that actively constructs hypotheses to explain or predict its sensations. This perspective provides a normative (Bayes-optimal) …		https://scholar.google.com/scholar?q=related:-al62ax8HDEJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2	O Van den Bergh, J Brosschot, H Critchley, ...	Better safe than sorry	2013	Het probleem van …	researchgate.net	https://www.researchgate.net/profile/Cristina-Ottaviani/publication/341577413_Better_safe_than_sorry_A_common_signature_of_general_vulnerability_for_psychopathology/links/5ec8be8192851c11a8816da0/Better-safe-than-sorry-A-common-signature-of-general-vulnerability-for-psychopathology.pdf	https://scholar.google.com/scholar?cites=13558624168034768907&as_sdt=2005&sciodt=2007&hl=en	175	2021-12-15 16:15:33	PDF								2	0.25	1	4	8	… called “active inference”); and (c) by changing how the brain samples (or attends to) sensory input (Barrett & Simmons, 2015). Active inference … Active inference therefore involves “policy …	https://www.researchgate.net/profile/Cristina-Ottaviani/publication/341577413_Better_safe_than_sorry_A_common_signature_of_general_vulnerability_for_psychopathology/links/5ec8be8192851c11a8816da0/Better-safe-than-sorry-A-common-signature-of-general-vulnerability-for-psychopathology.pdf	https://scholar.google.com/scholar?q=related:Cxi9GtjoKbwJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
1	S Murata, J Namikawa, H Arie, J Tani, ...	Learning to reproduce fluctuating behavioral sequences using a dynamic neural network model with time-varying variance estimation mechanism	2013	2013 IEEE Third Joint …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/6652545/	https://scholar.google.com/scholar?cites=14710545782773396857&as_sdt=2005&sciodt=2007&hl=en	126	2021-12-15 15:37:30									1	0.13	0	5	8	This study shows that a novel type of recurrent neural network model can learn to reproduce fluctuating training sequences by inferring their stochastic structures. The network learns to …	https://koasas.kaist.ac.kr/bitstream/10203/188047/1/80219.pdf	https://scholar.google.com/scholar?q=related:eTVUGnNbJswJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
1	D Ross	Action-oriented predictive processing and the neuroeconomics of sub-cognitive reward	2013	Behavioral and Brain Sciences	search.proquest.com	https://search.proquest.com/openview/dbaa2dc9544da10af7b429f7b7090178/1?pq-origsite=gscholar&cbl=47829	https://scholar.google.com/scholar?cites=12865024188321449079&as_sdt=2005&sciodt=2007&hl=en	121	2021-12-15 15:37:30									1	0.13	1	1	8	… most clearly in the context of so-called active inference, where the agent moves its sensors in ways … A full assessment of the free energy principle is, however, far beyond the scope of the …		https://scholar.google.com/scholar?q=related:d0S1Y1a_ibIJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
1	S Kumar, K von Kriegstein, KJ Friston, ...	A dynamic system for the analysis of acoustic features and valence of aversive sounds in the human brain	2013	Basic Aspects of …	Springer	https://link.springer.com/chapter/10.1007/978-1-4614-1590-9_51	https://scholar.google.com/scholar?cites=10685908680018591242&as_sdt=2005&sciodt=2007&hl=en	714	2021-12-16 9:10:44		10.1007/978-1-4614-1590-9_51							1	0.13	0	4	8	Certain sounds, for example, the squeal of chalk on a blackboard, are perceived as highly unpleasant. Functional magnetic resonance imaging (fMRI) in humans shows responses in the amygdala and auditory cortex to aversive sounds. Dynamic causal modelling (DCM) of …		https://scholar.google.com/scholar?q=related:Cn7F_lP5S5QJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1	K Yahya	A computational study of visual template identification in the SAIM: a free energy approach	2013		etheses.bham.ac.uk	http://etheses.bham.ac.uk/id/eprint/4746/	https://scholar.google.com/scholar?cites=11625206676180949417&as_sdt=2005&sciodt=2007&hl=en	134	2021-12-15 16:15:33									1	0.13	1	1	8	… of insight and knowledge about the Free energy principle and generally the way we model … This is usually known as active inference. Actually, the last two equations above (3.2.5) and (…	http://etheses.bham.ac.uk/id/eprint/4746/1/Yahya13MPhil.pdf	https://scholar.google.com/scholar?q=related:qdlDBuEHVaEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
0	IMD Vilares	Uncertainty and Decision-Making in the Human Brain	2013		search.proquest.com	https://search.proquest.com/openview/c11631324ee61893676b2ed44153ba45/1?pq-origsite=gscholar&cbl=2026366		133	2021-12-15 15:37:30									0	0	0	1	8	Uncertainty pervades most of the events and decisions that we face every day. Uncertainty exists in previously acquired knowledge (prior) and on what our senses currently tell us (…	https://run.unl.pt/bitstream/10362/12060/1/Ph.D%20Thesis%20Iris%20Vilares.pdf	https://scholar.google.com/scholar?q=related:DAv_N0YkpJYJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
0	BJH Smith	Towards Innovative Surface Mobility Systems for Next Generation Planetary Rovers	2013		search.proquest.com	https://search.proquest.com/openview/ecfb436b00c742c8429969e1f6b12c24/1?pq-origsite=gscholar&cbl=51922&diss=y		262	2021-12-15 16:15:33	BOOK								0	0	0	1	8	To date only wheeled robots have been used for extraterrestrial exploration, however these systems are limited in their agility and ability to adapt to changing environments. …		
0	K Friston	The Development of Autonomous Virtual Agents	2013	SmartData	Springer	https://link.springer.com/chapter/10.1007/978-1-4614-6409-9_8		47	2021-12-15 15:37:30		10.1007/978-1-4614-6409-9_8							0	0	0	1	8	… this in terms of active inference and the minimisation of a … This is active inference. In this setting, optimal behaviour is … overview of active inference for discrete state space models. …	http://www.ipsi.utoronto.ca/sdis/Friston-Paper.pdf	https://scholar.google.com/scholar?q=related:uy1VZBqQ3LEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
0	H Choi, DS Kim	Planning as Inference in a Hierarchical Predictive Memory	2013	International Conference on Neural Information …	Springer	https://link.springer.com/chapter/10.1007/978-3-642-42054-2_3		61	2021-12-15 15:37:30		10.1007/978-3-642-42054-2_3							0	0	0	2	8	… For example, active inference [8–10] explains action generation as producing the predicted behavior from current states to minimize the prediction error. We wanted to explain the …	https://koasas.kaist.ac.kr/bitstream/10203/189807/1/77700.pdf	https://scholar.google.com/scholar?q=related:PbIkPOs_YkwJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2013
715	LF Koziol, D Budding, N Andreasen, S D'Arrigo, ...	Consensus paper: the cerebellum's role in movement and cognition	2014	The Cerebellum	Springer	https://link.springer.com/content/pdf/10.1007/s12311-013-0511-x.pdf	https://scholar.google.com/scholar?cites=6997064455752477052&as_sdt=2005&sciodt=2007&hl=en	242	2021-12-15 16:15:33		10.1007/s12311-013-0511-x							715	102.14	143	5	7	While the cerebellum's role in motor function is well recognized, the nature of its concurrent role in cognitive function remains considerably less clear. The current consensus paper …	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4089997/	https://scholar.google.com/scholar?q=related:fGmj6wyRGmEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
460	RP Lawson, G Rees, KJ Friston	An aberrant precision account of autism	2014	Frontiers in human …	internal-journal.frontiersin.org	https://internal-journal.frontiersin.org/articles/10.3389/fnhum.2014.00302/full	https://scholar.google.com/scholar?cites=12526082804844703154&as_sdt=2005&sciodt=2007&hl=en	88	2021-12-15 16:15:33	HTML	10.3389/fnhum.2014.00302							460	65.71	153	3	7	… In this aspect of predictive coding, ie, active inference, perception is entrained by action and sensory attenuation plays a key permissive role in action. Repetitive or stereotyped …	https://internal-journal.frontiersin.org/articles/10.3389/fnhum.2014.00302/full	https://scholar.google.com/scholar?q=related:sq3l6fGV1a0J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
447	KJ Friston, KE Stephan, R Montague, RJ Dolan	Computational psychiatry: the brain as a phantastic organ	2014	The Lancet Psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S2215036614702755	https://scholar.google.com/scholar?cites=4212967086594671051&as_sdt=2005&sciodt=2007&hl=en	44	2021-12-15 16:15:33									447	63.86	112	4	7	… on active inference or predictive coding as an example (panel). We emphasise the importance of active inference by … A corollary of the free energy principle that describes the process of …	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1060.58&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:y0Hjdj53dzoJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
429	MAJ Apps, M Tsakiris	The free-energy self: a predictive coding account of self-recognition	2014	Neuroscience & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763413000420	https://scholar.google.com/scholar?cites=7501964555781046767&as_sdt=2005&sciodt=2007&hl=en	49	2021-12-15 16:15:33									429	61.29	215	2	7	… In summary, the free-energy principle states that the brain has the overarching functional … This is known as active inference and rests on minimising prediction error relating to …	https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3848896/	https://scholar.google.com/scholar?q=related:74HmMARVHGgJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
417	L Rigoux, KE Stephan, KJ Friston, J Daunizeau	Bayesian model selection for group studies—revisited	2014	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811913009300	https://scholar.google.com/scholar?cites=6331748935164658909&as_sdt=2005&sciodt=2007&hl=en	93	2021-12-16 9:10:44									417	59.57	104	4	7	In this paper, we revisit the problem of Bayesian model selection (BMS) at the group level. We originally addressed this issue in Stephan et al.(2009), where models are treated as random effects that could differ between subjects, with an unknown population distribution …	https://www.academia.edu/download/49192394/j.neuroimage.2013.08.06520160928-5348-939apu.pdf	https://scholar.google.com/scholar?q=related:3YRyBxzk3lcJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
398	J Bruineberg, E Rietveld	Self-organization, free energy minimization, and optimal grip on a field of affordances	2014	Frontiers in human neuroscience	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnhum.2014.00599/full	https://scholar.google.com/scholar?cites=10549111866855100576&as_sdt=2005&sciodt=2007&hl=en	26	2021-12-15 16:15:33	HTML	10.3389/fnhum.2014.00599							398	56.86	199	2	7	… We present the Free Energy Principle (FEP) as a promising … We think that what is “inferred” in active inference, as we have … consequence of combining active inference (action and …	https://www.frontiersin.org/articles/10.3389/fnhum.2014.00599/full	https://scholar.google.com/scholar?q=related:oJDB71n5ZZIJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
355	KJ Friston, J Kahan, B Biswal, A Razi	A DCM for resting state fMRI	2014	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811913012135	https://scholar.google.com/scholar?cites=12833821072238458928&as_sdt=2005&sciodt=2007&hl=en	109	2021-12-16 9:10:44	HTML								355	50.71	89	4	7	This technical note introduces a dynamic causal model (DCM) for resting state fMRI time series based upon observed functional connectivity—as measured by the cross spectra among different brain regions. This DCM is based upon a deterministic model that generates …	https://www.sciencedirect.com/science/article/pii/S1053811913012135	https://scholar.google.com/scholar?q=related:MDiyyUTkGrIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
339	AK Seth	The cybernetic Bayesian brain	2014		open-mind.net	https://open-mind.net/papers/the-cybernetic-bayesian-brain/at_download/paperPDF	https://scholar.google.com/scholar?cites=2780940742058801351&as_sdt=2005&sciodt=2007&hl=en	52	2021-12-15 16:15:33	BOOK								339	48.43	339	1	7	… The free energy principle also emphasizes action as a means of prediction error minimization, this being active inference. In general, active inference involves the selective sampling of …	https://open-mind.net/papers/the-cybernetic-bayesian-brain/at_download/paperPDF	https://scholar.google.com/scholar?q=related:x3jT797ilyYJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
294	C Büchel, S Geuter, C Sprenger, F Eippert	Placebo analgesia: a predictive coding perspective	2014	Neuron	Elsevier	https://www.sciencedirect.com/science/article/pii/S0896627314001925	https://scholar.google.com/scholar?cites=7751348494122628643&as_sdt=2005&sciodt=2007&hl=en	154	2021-12-15 16:15:33	HTML								294	42	74	4	7	… The free-energy principle states that self-organizing systems … Furthermore, predictive coding and active inference has … predictive coding and the free-energy principle not only rely on a …	https://www.sciencedirect.com/science/article/pii/S0896627314001925	https://scholar.google.com/scholar?q=related:IzZwEmNSkmsJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
281	E Quattrocki, K Friston	Autism, oxytocin and interoception	2014	Neuroscience & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763414002395	https://scholar.google.com/scholar?cites=1349131340016133020&as_sdt=2005&sciodt=2007&hl=en	130	2021-12-15 16:15:33	HTML								281	40.14	141	2	7	… Active inference and sensory attenuation. This illustrates how sensory attenuation in active inference supports social interactions. Like action observation, social interactions require …	https://www.sciencedirect.com/science/article/pii/S0149763414002395	https://scholar.google.com/scholar?q=related:nCMCRc4TuRIJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
267	AK Seth	A predictive processing theory of sensorimotor contingencies: Explaining the puzzle of perceptual presence and its absence in synesthesia	2014	Cognitive neuroscience	Taylor & Francis	https://www.tandfonline.com/doi/abs/10.1080/17588928.2013.877880	https://scholar.google.com/scholar?cites=13873505417713532736&as_sdt=2005&sciodt=2007&hl=en	96	2021-12-15 16:15:33		10.1080/17588928.2013.877880							267	38.14	267	1	7	… We will see later that the concept of active inference is critical … Active inference says that sensory prediction errors can be … To put it more simply, active inference is roughly equivalent to …	https://www.tandfonline.com/doi/pdf/10.1080/17588928.2013.877880	https://scholar.google.com/scholar?q=related:QL9FJKyXiMAJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2013&as_yhi=2015
